Blender 4.0.2
Fra:1 Mem:98.96M (Peak 98.96M) | Time:00:00.03 | Syncing Role_tree_a.002
Fra:1 Mem:98.96M (Peak 98.96M) | Time:00:00.03 | Syncing tree_single_B.002
Fra:1 Mem:98.99M (Peak 98.99M) | Time:00:00.03 | Syncing Role_tree_b.002
Fra:1 Mem:99.00M (Peak 99.00M) | Time:00:00.03 | Syncing rock_single_C
Fra:1 Mem:99.01M (Peak 99.01M) | Time:00:00.03 | Syncing Role_rock_c
Fra:1 Mem:99.01M (Peak 99.01M) | Time:00:00.03 | Syncing rock_single_E
Fra:1 Mem:99.03M (Peak 99.03M) | Time:00:00.03 | Syncing Role_rock_e
Fra:1 Mem:99.03M (Peak 99.03M) | Time:00:00.03 | Syncing rock_single_C.001
Fra:1 Mem:99.04M (Peak 99.04M) | Time:00:00.03 | Syncing Role_rock_c.001
Fra:1 Mem:99.05M (Peak 99.05M) | Time:00:00.03 | Syncing rock_single_E.001
Fra:1 Mem:99.06M (Peak 99.06M) | Time:00:00.03 | Syncing Role_rock_e.001
Fra:1 Mem:99.07M (Peak 99.07M) | Time:00:00.03 | Syncing CampPath
Fra:1 Mem:99.08M (Peak 99.08M) | Time:00:00.03 | Syncing rock_single_C.002
Fra:1 Mem:99.09M (Peak 99.09M) | Time:00:00.03 | Syncing Role_rock_c.002
Fra:1 Mem:99.09M (Peak 99.09M) | Time:00:00.03 | Syncing rock_single_C.003
Fra:1 Mem:99.10M (Peak 99.10M) | Time:00:00.03 | Syncing Role_rock_c.003
Fra:1 Mem:99.11M (Peak 99.11M) | Time:00:00.03 | Syncing rock_single_C.004
Fra:1 Mem:99.12M (Peak 99.12M) | Time:00:00.03 | Syncing Role_rock_c.004
Fra:1 Mem:99.12M (Peak 99.12M) | Time:00:00.03 | Syncing rock_single_C.005
Fra:1 Mem:99.13M (Peak 99.13M) | Time:00:00.03 | Syncing Role_rock_c.005
Fra:1 Mem:99.14M (Peak 99.14M) | Time:00:00.03 | Syncing rock_single_C.006
Fra:1 Mem:99.15M (Peak 99.15M) | Time:00:00.03 | Syncing Role_rock_c.006
Fra:1 Mem:99.15M (Peak 99.15M) | Time:00:00.03 | Syncing rock_single_C.007
Fra:1 Mem:99.16M (Peak 99.16M) | Time:00:00.03 | Syncing Role_rock_c.007
Fra:1 Mem:99.17M (Peak 99.17M) | Time:00:00.03 | Syncing rock_single_C.008
Fra:1 Mem:99.18M (Peak 99.18M) | Time:00:00.03 | Syncing Role_rock_c.008
Fra:1 Mem:99.18M (Peak 99.18M) | Time:00:00.03 | Syncing rock_single_C.009
Fra:1 Mem:99.19M (Peak 99.19M) | Time:00:00.03 | Syncing Role_rock_c.009
Fra:1 Mem:99.20M (Peak 99.20M) | Time:00:00.03 | Syncing CampHearthLog_0
Fra:1 Mem:99.21M (Peak 99.21M) | Time:00:00.03 | Syncing CampHearthLog_1
Fra:1 Mem:99.22M (Peak 99.22M) | Time:00:00.03 | Syncing CampHearthFlame
Fra:1 Mem:99.23M (Peak 99.23M) | Time:00:00.03 | Syncing CampHearthWarmLight
Fra:1 Mem:99.23M (Peak 99.23M) | Time:00:00.03 | Syncing tent
Fra:1 Mem:99.25M (Peak 99.25M) | Time:00:00.03 | Syncing camp__tent
Fra:1 Mem:99.25M (Peak 99.25M) | Time:00:00.03 | Syncing flag_red
Fra:1 Mem:99.26M (Peak 99.26M) | Time:00:00.03 | Syncing camp__flag_red
Fra:1 Mem:99.27M (Peak 99.27M) | Time:00:00.03 | Syncing crate_A_big
Fra:1 Mem:99.29M (Peak 99.29M) | Time:00:00.03 | Syncing camp__crate_big
Fra:1 Mem:99.29M (Peak 99.29M) | Time:00:00.03 | Syncing crate_A_small
Fra:1 Mem:99.32M (Peak 99.32M) | Time:00:00.03 | Syncing camp__crate_small
Fra:1 Mem:99.32M (Peak 99.32M) | Time:00:00.03 | Syncing resource_lumber
Fra:1 Mem:99.35M (Peak 99.35M) | Time:00:00.03 | Syncing camp__lumber
Fra:1 Mem:99.36M (Peak 99.36M) | Time:00:00.03 | Syncing sack
Fra:1 Mem:99.37M (Peak 99.37M) | Time:00:00.03 | Syncing camp__sack
Fra:1 Mem:99.38M (Peak 99.38M) | Time:00:00.03 | Syncing barrel
Fra:1 Mem:99.42M (Peak 99.42M) | Time:00:00.04 | Syncing camp__barrel
Fra:1 Mem:99.42M (Peak 99.42M) | Time:00:00.04 | Syncing wheelbarrow
Fra:1 Mem:99.48M (Peak 99.48M) | Time:00:00.04 | Syncing camp__wheelbarrow
Fra:1 Mem:99.48M (Peak 99.48M) | Time:00:00.04 | Syncing ShelterPath
Fra:1 Mem:99.49M (Peak 99.49M) | Time:00:00.04 | Syncing building_home_A_green
Fra:1 Mem:99.62M (Peak 99.62M) | Time:00:00.04 | Syncing shelter__house_a
Fra:1 Mem:99.63M (Peak 99.63M) | Time:00:00.04 | Syncing building_home_A_red
Fra:1 Mem:99.76M (Peak 99.76M) | Time:00:00.04 | Syncing shelter__house_c
Fra:1 Mem:99.76M (Peak 99.76M) | Time:00:00.04 | Syncing FoodPath
Fra:1 Mem:99.78M (Peak 99.78M) | Time:00:00.04 | Syncing FoodFieldSoil
Fra:1 Mem:99.82M (Peak 99.82M) | Time:00:00.04 | Syncing FoodCrop_0_0
Fra:1 Mem:99.83M (Peak 99.83M) | Time:00:00.04 | Syncing FoodCrop_0_1
Fra:1 Mem:99.84M (Peak 99.84M) | Time:00:00.04 | Syncing FoodCrop_0_2
Fra:1 Mem:99.84M (Peak 99.84M) | Time:00:00.04 | Syncing FoodCrop_0_3
Fra:1 Mem:99.85M (Peak 99.85M) | Time:00:00.04 | Syncing FoodCrop_0_4
Fra:1 Mem:99.86M (Peak 99.86M) | Time:00:00.04 | Syncing FoodCrop_0_5
Fra:1 Mem:99.87M (Peak 99.87M) | Time:00:00.04 | Syncing FoodCrop_0_6
Fra:1 Mem:99.88M (Peak 99.88M) | Time:00:00.04 | Syncing FoodCrop_1_0
Fra:1 Mem:99.89M (Peak 99.89M) | Time:00:00.04 | Syncing FoodCrop_1_1
Fra:1 Mem:99.89M (Peak 99.89M) | Time:00:00.04 | Syncing FoodCrop_1_2
Fra:1 Mem:99.90M (Peak 99.90M) | Time:00:00.04 | Syncing FoodCrop_1_3
Fra:1 Mem:99.91M (Peak 99.91M) | Time:00:00.04 | Syncing FoodCrop_1_4
Fra:1 Mem:99.92M (Peak 99.92M) | Time:00:00.04 | Syncing FoodCrop_1_5
Fra:1 Mem:99.93M (Peak 99.93M) | Time:00:00.04 | Syncing FoodCrop_1_6
Fra:1 Mem:99.93M (Peak 99.93M) | Time:00:00.04 | Syncing FoodCrop_2_0
Fra:1 Mem:99.94M (Peak 99.94M) | Time:00:00.04 | Syncing FoodCrop_2_1
Fra:1 Mem:99.95M (Peak 99.95M) | Time:00:00.04 | Syncing FoodCrop_2_2
Fra:1 Mem:99.96M (Peak 99.96M) | Time:00:00.04 | Syncing FoodCrop_2_3
Fra:1 Mem:99.97M (Peak 99.97M) | Time:00:00.04 | Syncing FoodCrop_2_4
Fra:1 Mem:99.97M (Peak 99.97M) | Time:00:00.04 | Syncing FoodCrop_2_5
Fra:1 Mem:99.98M (Peak 99.98M) | Time:00:00.04 | Syncing FoodCrop_2_6
Fra:1 Mem:99.99M (Peak 99.99M) | Time:00:00.04 | Syncing FoodCrop_3_0
Fra:1 Mem:100.00M (Peak 100.00M) | Time:00:00.04 | Syncing FoodCrop_3_1
Fra:1 Mem:100.01M (Peak 100.01M) | Time:00:00.04 | Syncing FoodCrop_3_2
Fra:1 Mem:100.02M (Peak 100.02M) | Time:00:00.04 | Syncing FoodCrop_3_3
Fra:1 Mem:100.02M (Peak 100.02M) | Time:00:00.04 | Syncing FoodCrop_3_4
Fra:1 Mem:100.03M (Peak 100.03M) | Time:00:00.04 | Syncing FoodCrop_3_5
Fra:1 Mem:100.04M (Peak 100.04M) | Time:00:00.04 | Syncing FoodCrop_3_6
Fra:1 Mem:100.05M (Peak 100.05M) | Time:00:00.04 | Syncing FoodCrop_4_0
Fra:1 Mem:100.06M (Peak 100.06M) | Time:00:00.04 | Syncing FoodCrop_4_1
Fra:1 Mem:100.07M (Peak 100.07M) | Time:00:00.04 | Syncing FoodCrop_4_2
Fra:1 Mem:100.07M (Peak 100.07M) | Time:00:00.04 | Syncing FoodCrop_4_3
Fra:1 Mem:100.08M (Peak 100.08M) | Time:00:00.04 | Syncing FoodCrop_4_4
Fra:1 Mem:100.09M (Peak 100.09M) | Time:00:00.04 | Syncing FoodCrop_4_5
Fra:1 Mem:100.10M (Peak 100.10M) | Time:00:00.04 | Syncing FoodCrop_4_6
Fra:1 Mem:100.11M (Peak 100.11M) | Time:00:00.04 | Syncing building_grain
Fra:1 Mem:100.14M (Peak 100.14M) | Time:00:00.04 | Syncing food__grain
Fra:1 Mem:100.15M (Peak 100.15M) | Time:00:00.04 | Syncing building_home_B_yellow
Fra:1 Mem:104.36M (Peak 108.16M) | Time:00:00.06 | Syncing food__house_b
Fra:1 Mem:104.37M (Peak 108.16M) | Time:00:00.06 | Syncing sack.001
Fra:1 Mem:104.38M (Peak 108.16M) | Time:00:00.06 | Syncing food__sack
Fra:1 Mem:104.39M (Peak 108.16M) | Time:00:00.06 | Syncing bucket_water
Fra:1 Mem:104.41M (Peak 108.16M) | Time:00:00.06 | Syncing food__bucket_water
Fra:1 Mem:104.42M (Peak 108.16M) | Time:00:00.06 | Syncing fence_wood_straight
Fra:1 Mem:104.45M (Peak 108.16M) | Time:00:00.06 | Syncing food__fence.001
Fra:1 Mem:104.46M (Peak 108.16M) | Time:00:00.06 | Syncing fence_wood_straight.001
